Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Type,Rarity,Price
2,"""Rumors of My Death . . .""",Unstable,65,Near Mint,English,,,,,,,,Enchantment,Uncommon,$0.25 
2,Abandon Hope,Tempest,1,Near Mint,English,,,,,,,,Sorcery,Uncommon,$0.29 
8,Abandon Reason,Eldritch Moon,115,Near Mint,English,,,,,,,,Instant,Uncommon,$0.28 
1,Abandoned Sarcophagus,Commander 2020,236,Near Mint,English,,,,,,,,Artifact,Rare,$0.30 
3,Abandoned Sarcophagus,Hour of Devastation,158,Near Mint,English,,,,,,,,Artifact,Rare,$0.34 
8,Abattoir Ghoul,Innistrad,85,Near Mint,English,,,,,,,,Creature - Zombie,Uncommon,$0.23 
1,Abbey Gargoyles,Homelands,101,Near Mint,English,,,,,,,,Creature - Gargoyle,Uncommon,$0.24 
1,Abbey Gargoyles,Fifth Edition,277,Near Mint,English,,,,,,,,Creature - Gargoyle,Uncommon,$0.23 
6,Abbey Griffin,Innistrad,1,Near Mint,English,,,,,,,,Creature - Griffin,Common,$0.20 
3,Abbey Matron,Homelands,102,Near Mint,English,,,,,,,,Creature - Human Cleric,Common,$0.19 
3,Abbey Matron,Homelands,103,Near Mint,English,,,,,,,,Creature - Human Cleric,Common,$0.20 
1,Abbot of Keral Keep,Magic Origins,127,Near Mint,English,,,,,,,,Creature - Human Monk,Rare,$1.18 
3,Abduction,Weatherlight,30,Near Mint,English,,,,,,,,Enchantment - Aura,Uncommon,$0.30 
1,Abduction,Classic Sixth Edition,55,Near Mint,English,,,,,,,,Enchantment - Aura,Uncommon,$0.35 
6,Aberrant Researcher,Shadows over Innistrad,49,Near Mint,English,,,,,,,,Creature - Human Insect // Creature - Insect Horror,Uncommon,$0.25 
1,Abeyance,Weatherlight,117,Near Mint,English,,,,,,,,Instant,Rare,$30.58 
1,Abhorrent Overlord,Prerelease Events,70,Near Mint,English,foil,,,,,,,Creature - Demon,Special,$0.84 
1,Abhorrent Overlord,Theros,75,Played,English,,,,,,,,Creature - Demon,Rare,$0.46 
2,Abhorrent Overlord,Theros,75,Near Mint,English,,,,,,,,Creature - Demon,Rare,$0.46 
